0.38580847	50.77405900	14.67306800	2.20375600	1.06758020	1.41287570	0.13835373	0.12675861	0.12817288	-0.95198208	0.01549992	-0.00102475	0.05118735	0.78837667	0.15148815	0.09352715	0.04727173
0.40024428	52.67387300	14.76090000	2.18648230	1.07487580	1.41009850	0.13609250	0.12437690	0.12557942	-0.95397081	0.01516727	-0.00102741	0.04935480	0.75641692	0.15181202	0.10085763	0.04523019
0.41480529	54.59016500	14.84577400	2.17043020	1.08149830	1.40715800	0.13390330	0.12212742	0.12314947	-0.95576378	0.01490567	-0.00103023	0.04764667	0.72489777	0.15179427	0.10722370	0.04338429
0.42948628	56.52224600	14.92795000	2.15551840	1.08751160	1.40408010	0.13179305	0.12000349	0.12087674	-0.95738599	0.01469737	-0.00102994	0.04605537	0.69398248	0.15142670	0.11262872	0.04170892
0.44428206	58.46943500	15.00765300	2.14167150	1.09297480	1.40089060	0.12976514	0.11799891	0.11874476	-0.95886010	0.01451581	-0.00102491	0.04457130	0.66378792	0.15071137	0.11708833	0.04018140
0.45918749	60.43105500	15.08508200	2.12881830	1.09794130	1.39761610	0.12781696	0.11610805	0.11674195	-0.96020392	0.01435171	-0.00101600	0.04318576	0.63438658	0.14964950	0.12063095	0.03878383
0.47419752	62.40643800	15.16041100	2.11689160	1.10245910	1.39427750	0.12594660	0.11432525	0.11486305	-0.96142973	0.01421977	-0.00100454	0.04189246	0.60582550	0.14823956	0.12329761	0.03750406
0.48930710	64.39492500	15.23380300	2.10582690	1.10657150	1.39088880	0.12415601	0.11264490	0.11310470	-0.96254890	0.01413120	-0.00099080	0.04068675	0.57813938	0.14648900	0.12513826	0.03633100
0.50451127	66.39585900	15.30540400	2.09556300	1.11031740	1.38746420	0.12244629	0.11106195	0.11145757	-0.96357423	0.01408368	-0.00097468	0.03956277	0.55134464	0.14441688	0.12620558	0.03525237
0.51980511	68.40859500	15.37534200	2.08604030	1.11373160	1.38402500	0.12081504	0.10957161	0.10991598	-0.96451627	0.01407735	-0.00095648	0.03851496	0.52543467	0.14204334	0.12655128	0.03425808
0.53518379	70.43249500	15.44373500	2.07719900	1.11684540	1.38059420	0.11925939	0.10816879	0.10847602	-0.96538333	0.01412148	-0.00093756	0.03753829	0.50039400	0.13937837	0.12622376	0.03334036
